ent_station,ext_station,riders_average_weekday_late_night
Addison Road,Addison Road,1.625
Addison Road,Anacostia,0.875
Addison Road,Archives-Navy Memorial,0.125
Addison Road,Ballston,0.125
Addison Road,Benning Road,1.875
Addison Road,Braddock Road,0.125
Addison Road,Branch Avenue,0.5
Addison Road,Brookland,0.125
Addison Road,Capitol Heights,1.375
Addison Road,Clarendon,0.125
Addison Road,Congress Heights,0.75
Addison Road,Crystal City,0.125
Addison Road,Deanwood,0.125
Addison Road,Eastern Market,0.875
Addison Road,Fort Totten,0.25
Addison Road,Franconia-Springfield,0.125
Addison Road,Gallery Place-Chinatown,0.25
Addison Road,Georgia Avenue-Petworth,0.375
Addison Road,Glenmont,0.125
Addison Road,King Street,0.5
Addison Road,L'Enfant Plaza,0.125
Addison Road,Landover,0.5
Addison Road,Largo Town Center,2.125
Addison Road,McPherson Square,0.125
Addison Road,Metro Center,0.25
Addison Road,Morgan Blvd.,1.25
Addison Road,Mt. Vernon Square-UDC,0.125
Addison Road,Navy Yard,0.125
Addison Road,Naylor Road,0.75
Addison Road,New Carrollton,0.625
Addison Road,New York Ave,0.25
Addison Road,Pentagon,0.25
Addison Road,Pentagon City,0.25
Addison Road,Potomac Avenue,1.75
Addison Road,Prince George's Plaza,0.375
Addison Road,Reagan Washington National Airport,0.25
Addison Road,Rhode Island Avenue,0.875
Addison Road,Shady Grove,0.875
Addison Road,Shaw-Howard University,0.25
Addison Road,Silver Spring,0.125
Addison Road,Southern Avenue,0.5
Addison Road,Stadium-Armory,1.375
Addison Road,Suitland,0.625
Addison Road,Takoma,0.125
Addison Road,Tenleytown-AU,0.125
Addison Road,U Street-Cardozo,0.125
Addison Road,Union Station,0.125
Addison Road,Waterfront,0.125
Anacostia,Addison Road,0.75
Anacostia,Anacostia,7.375
Anacostia,Archives-Navy Memorial,0.625
Anacostia,Ballston,0.25
Anacostia,Benning Road,1.5
Anacostia,Braddock Road,0.375
Anacostia,Branch Avenue,2.75
Anacostia,Brookland,1.625
Anacostia,Capitol Heights,1.375
Anacostia,Capitol South,0.125
Anacostia,College Park-U of MD,0.5
Anacostia,Columbia Heights,6.125
Anacostia,Congress Heights,3.5
Anacostia,Court House,0.125
Anacostia,Crystal City,0.125
Anacostia,Deanwood,1.0
Anacostia,Dupont Circle,0.375
Anacostia,East Falls Church,0.25
Anacostia,Farragut West,0.375
Anacostia,Federal Center SW,0.125
Anacostia,Foggy Bottom,0.625
Anacostia,Fort Totten,4.25
Anacostia,Gallery Place-Chinatown,7.5
Anacostia,Georgia Avenue-Petworth,4.5
Anacostia,Glenmont,0.625
Anacostia,Greenbelt,0.375
Anacostia,Huntington,0.625
Anacostia,Judiciary Square,0.125
Anacostia,King Street,0.25
Anacostia,L'Enfant Plaza,0.375
Anacostia,Landover,1.0
Anacostia,Largo Town Center,0.75
Anacostia,Metro Center,0.25
Anacostia,Minnesota Avenue,3.125
Anacostia,Morgan Blvd.,0.25
Anacostia,Mt. Vernon Square-UDC,0.625
Anacostia,Navy Yard,2.625
Anacostia,Naylor Road,4.375
Anacostia,New Carrollton,1.0
Anacostia,New York Ave,2.875
Anacostia,Pentagon,0.375
Anacostia,Pentagon City,0.375
Anacostia,Potomac Avenue,0.375
Anacostia,Prince George's Plaza,0.125
Anacostia,Reagan Washington National Airport,0.375
Anacostia,Rhode Island Avenue,2.25
Anacostia,Rockville,0.125
Anacostia,Shaw-Howard University,2.125
Anacostia,Silver Spring,0.625
Anacostia,Southern Avenue,2.375
Anacostia,Stadium-Armory,1.125
Anacostia,Suitland,7.75
Anacostia,Takoma,0.125
Anacostia,U Street-Cardozo,4.25
Anacostia,Union Station,0.875
Anacostia,Waterfront,2.125
Anacostia,West Hyattsville,0.5
Anacostia,Wheaton,0.125
Anacostia,Woodley Park-Zoo,0.875
Archives-Navy Memorial,Anacostia,4.75
Archives-Navy Memorial,Archives-Navy Memorial,5.625
Archives-Navy Memorial,Ballston,1.5
Archives-Navy Memorial,Benning Road,1.625
Archives-Navy Memorial,Bethesda,0.25
Archives-Navy Memorial,Braddock Road,0.75
Archives-Navy Memorial,Branch Avenue,1.625
Archives-Navy Memorial,Capitol Heights,0.5
Archives-Navy Memorial,Capitol South,0.375
Archives-Navy Memorial,Cheverly,0.5
Archives-Navy Memorial,Cleveland Park,0.625
Archives-Navy Memorial,College Park-U of MD,1.875
Archives-Navy Memorial,Columbia Heights,14.0
Archives-Navy Memorial,Congress Heights,2.0
Archives-Navy Memorial,Court House,0.875
Archives-Navy Memorial,Crystal City,5.125
Archives-Navy Memorial,Deanwood,0.375
Archives-Navy Memorial,Dunn Loring,0.125
Archives-Navy Memorial,Dupont Circle,0.75
Archives-Navy Memorial,East Falls Church,0.625
Archives-Navy Memorial,Eastern Market,2.125
Archives-Navy Memorial,Eisenhower Avenue,1.5
Archives-Navy Memorial,Farragut North,0.25
Archives-Navy Memorial,Farragut West,0.25
Archives-Navy Memorial,Federal Center SW,0.125
Archives-Navy Memorial,Foggy Bottom,0.25
Archives-Navy Memorial,Fort Totten,5.875
Archives-Navy Memorial,Franconia-Springfield,2.0
Archives-Navy Memorial,Friendship Heights,0.125
Archives-Navy Memorial,Gallery Place-Chinatown,0.25
Archives-Navy Memorial,Georgia Avenue-Petworth,6.375
Archives-Navy Memorial,Greenbelt,2.5
Archives-Navy Memorial,Huntington,6.125
Archives-Navy Memorial,King Street,3.0
Archives-Navy Memorial,L'Enfant Plaza,0.375
Archives-Navy Memorial,Landover,0.125
Archives-Navy Memorial,Largo Town Center,0.875
Archives-Navy Memorial,McPherson Square,0.125
Archives-Navy Memorial,Metro Center,0.375
Archives-Navy Memorial,Minnesota Avenue,0.625
Archives-Navy Memorial,Morgan Blvd.,0.25
Archives-Navy Memorial,Mt. Vernon Square-UDC,2.75
Archives-Navy Memorial,Navy Yard,3.625
Archives-Navy Memorial,Naylor Road,2.0
Archives-Navy Memorial,New Carrollton,1.0
Archives-Navy Memorial,New York Ave,1.125
Archives-Navy Memorial,Pentagon,1.5
Archives-Navy Memorial,Pentagon City,9.25
Archives-Navy Memorial,Potomac Avenue,1.0
Archives-Navy Memorial,Prince George's Plaza,2.625
Archives-Navy Memorial,Reagan Washington National Airport,0.625
Archives-Navy Memorial,Rosslyn,0.5
Archives-Navy Memorial,Shady Grove,0.5
Archives-Navy Memorial,Shaw-Howard University,1.125
Archives-Navy Memorial,Silver Spring,1.0
Archives-Navy Memorial,Southern Avenue,2.625
Archives-Navy Memorial,Stadium-Armory,0.75
Archives-Navy Memorial,Suitland,2.125
Archives-Navy Memorial,Takoma,0.25
Archives-Navy Memorial,Tenleytown-AU,0.125
Archives-Navy Memorial,U Street-Cardozo,3.875
Archives-Navy Memorial,Union Station,2.125
Archives-Navy Memorial,Van Dorn Street,1.375
Archives-Navy Memorial,Van Ness-UDC,0.25
Archives-Navy Memorial,Vienna,0.125
Archives-Navy Memorial,Virginia Square-GMU,0.25
Archives-Navy Memorial,Waterfront,4.875
Archives-Navy Memorial,West Falls Church,0.375
Archives-Navy Memorial,West Hyattsville,3.625
Archives-Navy Memorial,Wheaton,0.375
Ballston,Anacostia,2.5
Ballston,Ballston,7.375
Ballston,Benning Road,1.875
Ballston,Bethesda,0.375
Ballston,Braddock Road,0.875
Ballston,Branch Avenue,0.125
Ballston,Brookland,0.625
Ballston,Capitol Heights,0.375
Ballston,Capitol South,0.5
Ballston,Cheverly,0.625
Ballston,Clarendon,7.0
Ballston,Cleveland Park,1.0
Ballston,Columbia Heights,2.0
Ballston,Congress Heights,0.125
Ballston,Court House,7.875
Ballston,Crystal City,1.375
Ballston,Deanwood,0.25
Ballston,Dunn Loring,12.125
Ballston,Dupont Circle,0.75
Ballston,East Falls Church,13.625
Ballston,Eastern Market,1.75
Ballston,Eisenhower Avenue,0.25
Ballston,Farragut West,3.875
Ballston,Federal Center SW,0.5
Ballston,Foggy Bottom,10.25
Ballston,Forest Glen,1.25
