ent_station,ext_station,riders_average_weekday_late_night,trip_length
addison road,addison road,1.625,0
addison road,anacostia,0.875,11
addison road,archives,0.125,9
addison road,ballston-mu,0.125,15
addison road,benning road,1.875,2
addison road,braddock road,0.125,14
addison road,branch avenue,0.5,16
addison road,brookland cua,0.125,15
addison road,capitol heights,1.375,1
addison road,clarendon,0.125,13
addison road,congress heights,0.75,12
addison road,crystal city,0.125,11
addison road,deanwood,0.125,5
addison road,eastern market,0.875,5
addison road,fort totten,0.25,16
addison road,franconia springfield,0.125,17
addison road,gallery place,0.25,10
addison road,georgia avenue petworth,0.375,15
addison road,glenmont,0.125,21
addison road,king street old town,0.5,15
addison road,l'enfant plaza,0.125,8
addison road,landover,0.5,7
addison road,largo,2.125,2
addison road,mcpherson square,0.125,12
addison road,metro center,0.25,11
addison road,morgan boulevard,1.25,1
addison road,mount vernon square,0.125,11
addison road,navy yard ballpark,0.125,10
addison road,naylor road,0.75,14
addison road,new carrollton,0.625,8
addison road,noma gallaudet u,0.25,13
addison road,pentagon,0.25,9
addison road,pentagon city,0.25,10
addison road,potomac avenue,1.75,4
addison road,hyattsville crossing,0.375,18
addison road,national airport,0.25,12
addison road,rhode island avenue,0.875,14
addison road,shady grove,0.875,25
addison road,shaw howard university,0.25,12
addison road,silver spring,0.125,18
addison road,southern avenue,0.5,13
addison road,stadium armory,1.375,3
addison road,suitland,0.625,15
addison road,takoma,0.125,17
addison road,tenleytown au,0.125,17
addison road,u street,0.125,13
addison road,union station,0.125,12
addison road,waterfront,0.125,9
anacostia,addison road,0.75,11
anacostia,anacostia,7.375,0
anacostia,archives,0.625,4
anacostia,ballston-mu,0.25,10
anacostia,benning road,1.5,9
anacostia,braddock road,0.375,9
anacostia,branch avenue,2.75,5
anacostia,brookland cua,1.625,10
anacostia,capitol heights,1.375,10
anacostia,capitol south,0.125,5
anacostia,college park university of maryland,0.5,14
anacostia,columbia heights,6.125,9
anacostia,congress heights,3.5,1
anacostia,court house,0.125,7
anacostia,crystal city,0.125,6
anacostia,deanwood,1.0,10
anacostia,dupont circle,0.375,8
anacostia,east falls church,0.25,11
anacostia,farragut west,0.375,8
anacostia,federal center sw,0.125,4
anacostia,foggy bottom gwu,0.625,7
anacostia,fort totten,4.25,11
anacostia,gallery place,7.5,5
anacostia,georgia avenue petworth,4.5,10
anacostia,glenmont,0.625,16
anacostia,greenbelt,0.375,15
anacostia,huntington,0.625,12
anacostia,judiciary square,0.125,6
anacostia,king street old town,0.25,10
anacostia,l'enfant plaza,0.375,3
anacostia,landover,1.0,12
anacostia,largo,0.75,13
anacostia,metro center,0.25,6
anacostia,minnesota avenue,3.125,9
anacostia,morgan boulevard,0.25,12
anacostia,mount vernon square,0.625,6
anacostia,navy yard ballpark,2.625,1
anacostia,naylor road,4.375,3
anacostia,new carrollton,1.0,13
anacostia,noma gallaudet u,2.875,8
anacostia,pentagon,0.375,4
anacostia,pentagon city,0.375,5
anacostia,potomac avenue,0.375,7
anacostia,hyattsville crossing,0.125,13
anacostia,national airport,0.375,7
anacostia,rhode island avenue,2.25,9
anacostia,rockville,0.125,19
anacostia,shaw howard university,2.125,7
anacostia,silver spring,0.625,13
anacostia,southern avenue,2.375,2
anacostia,stadium armory,1.125,8
anacostia,suitland,7.75,4
anacostia,takoma,0.125,12
anacostia,u street,4.25,8
anacostia,union station,0.875,7
anacostia,waterfront,2.125,2
anacostia,west hyattsville,0.5,12
anacostia,wheaton,0.125,15
anacostia,woodley park,0.875,9
archives,anacostia,4.75,4
archives,archives,5.625,0
archives,ballston-mu,1.5,8
archives,benning road,1.625,7
archives,bethesda,0.25,10
archives,braddock road,0.75,7
archives,branch avenue,1.625,9
archives,capitol heights,0.5,8
archives,capitol south,0.375,3
archives,cheverly,0.5,9
archives,cleveland park,0.625,6
archives,college park university of maryland,1.875,10
archives,columbia heights,14.0,5
archives,congress heights,2.0,5
archives,court house,0.875,5
archives,crystal city,5.125,4
archives,deanwood,0.375,8
archives,dunn loring,0.125,11
archives,dupont circle,0.75,4
archives,east falls church,0.625,9
archives,eastern market,2.125,4
archives,eisenhower avenue,1.5,9
archives,farragut north,0.25,3
archives,farragut west,0.25,4
archives,federal center sw,0.125,2
archives,foggy bottom gwu,0.25,5
archives,fort totten,5.875,7
archives,franconia springfield,2.0,10
archives,friendship heights,0.125,9
archives,gallery place,0.25,1
archives,georgia avenue petworth,6.375,6
archives,greenbelt,2.5,11
archives,huntington,6.125,10
archives,king street old town,3.0,8
archives,l'enfant plaza,0.375,1
archives,landover,0.125,10
archives,largo,0.875,11
archives,mcpherson square,0.125,3
archives,metro center,0.375,2
archives,minnesota avenue,0.625,7
archives,morgan boulevard,0.25,10
archives,mount vernon square,2.75,2
archives,navy yard ballpark,3.625,3
archives,naylor road,2.0,7
archives,new carrollton,1.0,11
archives,noma gallaudet u,1.125,4
archives,pentagon,1.5,2
archives,pentagon city,9.25,3
archives,potomac avenue,1.0,5
archives,hyattsville crossing,2.625,9
archives,national airport,0.625,5
archives,rosslyn,0.5,4
archives,shady grove,0.5,16
archives,shaw howard university,1.125,3
archives,silver spring,1.0,9
archives,southern avenue,2.625,6
archives,stadium armory,0.75,6
archives,suitland,2.125,8
archives,takoma,0.25,8
archives,tenleytown au,0.125,8
archives,u street,3.875,4
archives,union station,2.125,3
archives,van dorn street,1.375,9
archives,van ness udc,0.25,7
archives,vienna,0.125,12
archives,virginia square gmu,0.25,7
archives,waterfront,4.875,2
