ent_station,ext_station,ent_time_period,riders_average_saturday,trip_length
addison road,addison road,AM Peak,4.75,0
addison road,anacostia,AM Peak,3.5,11
addison road,archives,AM Peak,2.25,9
addison road,ballston-mu,AM Peak,3.5,15
addison road,benning road,AM Peak,6.5,2
addison road,bethesda,AM Peak,3.0,19
addison road,braddock road,AM Peak,1.0,14
addison road,branch avenue,AM Peak,1.75,16
addison road,brookland cua,AM Peak,4.0,15
addison road,capitol heights,AM Peak,2.75,1
addison road,capitol south,AM Peak,10.25,6
addison road,cheverly,AM Peak,1.5,6
addison road,clarendon,AM Peak,1.0,13
addison road,columbia heights,AM Peak,3.75,14
addison road,congress heights,AM Peak,0.75,12
addison road,court house,AM Peak,0.75,12
addison road,crystal city,AM Peak,1.25,11
addison road,deanwood,AM Peak,1.75,5
addison road,dunn loring,AM Peak,1.0,18
addison road,dupont circle,AM Peak,7.25,13
addison road,east falls church,AM Peak,1.25,16
addison road,eastern market,AM Peak,6.75,5
addison road,eisenhower avenue,AM Peak,0.5,16
addison road,farragut north,AM Peak,2.25,12
addison road,farragut west,AM Peak,8.25,13
addison road,federal center sw,AM Peak,3.0,7
addison road,federal triangle,AM Peak,3.25,10
addison road,foggy bottom gwu,AM Peak,8.0,12
addison road,forest glen,AM Peak,0.75,19
addison road,fort totten,AM Peak,6.0,16
addison road,franconia springfield,AM Peak,3.0,17
addison road,friendship heights,AM Peak,4.75,18
addison road,gallery place,AM Peak,7.5,10
addison road,georgia avenue petworth,AM Peak,2.75,15
addison road,glenmont,AM Peak,1.75,21
addison road,greenbelt,AM Peak,0.75,20
addison road,huntington,AM Peak,4.0,17
addison road,king street old town,AM Peak,2.25,15
addison road,landover,AM Peak,0.75,7
addison road,largo,AM Peak,24.25,2
addison road,l'enfant plaza,AM Peak,4.25,8
addison road,mcpherson square,AM Peak,8.0,12
addison road,medical center,AM Peak,1.25,20
addison road,metro center,AM Peak,9.75,11
addison road,minnesota avenue,AM Peak,1.0,4
addison road,morgan boulevard,AM Peak,4.5,1
addison road,mount vernon square,AM Peak,4.25,11
addison road,navy yard ballpark,AM Peak,2.75,10
addison road,naylor road,AM Peak,0.75,14
addison road,new carrollton,AM Peak,7.5,8
addison road,noma gallaudet u,AM Peak,1.0,13
addison road,pentagon,AM Peak,3.25,9
addison road,pentagon city,AM Peak,8.5,10
addison road,potomac avenue,AM Peak,5.0,4
addison road,hyattsville crossing,AM Peak,1.75,18
addison road,national airport,AM Peak,3.0,12
addison road,rhode island avenue,AM Peak,4.75,14
addison road,rockville,AM Peak,1.25,24
addison road,rosslyn,AM Peak,4.75,11
addison road,shady grove,AM Peak,1.75,25
addison road,shaw howard university,AM Peak,3.5,12
addison road,silver spring,AM Peak,5.25,18
addison road,smithsonian,AM Peak,4.5,9
addison road,southern avenue,AM Peak,0.75,13
