station_name,station_id,lat,lon,line
Metro Center,C01,38.898303,-77.028099,BL
McPherson Square,C02,38.901316,-77.033652,BL
Farragut West,C03,38.901311,-77.03981,BL
Foggy Bottom-GWU,C04,38.900599,-77.050273,BL
Rosslyn,C05,38.896595,-77.07146,BL
Arlington Cemetery,C06,38.884574,-77.063108,BL
Pentagon,C07,38.869349,-77.054013,BL
Pentagon City,C08,38.863045,-77.059507,BL
Crystal City,C09,38.85779,-77.050589,BL
Ronald Reagan Washington National Airport,C10,38.852985,-77.043805,BL
Potomac Yard,C11,38.83321,-77.04642,BL
Braddock Road,C12,38.814009,-77.053763,BL
King St-Old Town,C13,38.806474,-77.061115,BL
Federal Triangle,D01,38.893757,-77.028218,BL
Smithsonian,D02,38.888022,-77.028232,BL
L'Enfant Plaza,D03,38.884775,-77.021964,BL
Federal Center SW,D04,38.884958,-77.01586,BL
Capitol South,D05,38.884968,-77.005137,BL
Eastern Market,D06,38.884124,-76.995334,BL
Potomac Ave,D07,38.880841,-76.985721,BL
Stadium-Armory,D08,38.88594,-76.977485,BL
Benning Road,G01,38.890488,-76.938291,BL
Capitol Heights,G02,38.889757,-76.913382,BL
Addison Road-Seat Pleasant,G03,38.886713,-76.893592,BL
Morgan Boulevard,G04,38.8913,-76.8682,BL
Downtown Largo,G05,38.9008,-76.8449,BL
Van Dorn Street,J02,38.799193,-77.129407,BL
Franconia-Springfield,J03,38.766129,-77.168797,BL
Mt Vernon Sq 7th St-Convention Center,E01,38.905604,-77.022256,GR
Shaw-Howard U,E02,38.912919,-77.022194,GR
U Street/African-Amer Civil War Memorial/Cardozo,E03,38.916489,-77.028938,GR
Columbia Heights,E04,38.928672,-77.032775,GR
Georgia Ave-Petworth,E05,38.936077,-77.024728,GR
Fort Totten,E06,38.951777,-77.002174,GR
West Hyattsville,E07,38.954931,-76.969881,GR
Hyattsville Crossing,E08,38.965276,-76.956182,GR
College Park-U of Md,E09,38.978523,-76.928432,GR
Greenbelt,E10,39.011036,-76.911362,GR
Gallery Pl-Chinatown,F01,38.89834,-77.021851,GR
Archives-Navy Memorial-Penn Quarter,F02,38.893893,-77.021902,GR
L'Enfant Plaza,F03,38.884775,-77.021964,GR
Waterfront,F04,38.876221,-77.017491,GR
Navy Yard-Ballpark,F05,38.876588,-77.005086,GR
Anacostia,F06,38.862072,-76.995648,GR
Congress Heights,F07,38.845334,-76.98817,GR
Southern Avenue,F08,38.840974,-76.97536,GR
Naylor Road,F09,38.851187,-76.956565,GR
Suitland,F10,38.843891,-76.932022,GR
Branch Ave,F11,38.826995,-76.912134,GR
Metro Center,C01,38.898303,-77.028099,OR
McPherson Square,C02,38.901316,-77.033652,OR
Farragut West,C03,38.901311,-77.03981,OR
Foggy Bottom-GWU,C04,38.900599,-77.050273,OR
Rosslyn,C05,38.896595,-77.07146,OR
