original_name,corrected_name
Archives-Navy Memorial,Archives
Archives-Navy Memorial-Penn Quarter,Archives
Ballston,Ballston-MU
Brookland,Brookland–CUA
College Park-U of MD,College Park–University of Maryland
College Park-U of Md,College Park–University of Maryland
College Park-U of Md,College Park–University of Maryland
Foggy Bottom,Foggy Bottom–GWU
Franconia-Springfield,Franconia–Springfield
Gallery Place-Chinatown,Gallery Place
Gallery Pl-Chinatown,Gallery Place
Georgia Avenue-Petworth,Georgia Avenue–Petworth
Georgia Ave-Petworth,Georgia Avenue–Petworth
Grosvenor,Grosvenor–Strathmore
King Street,King Street–Old Town
King St-Old Town,King Street–Old Town
King St-Old Town,King Street–Old Town
Largo Town Center,Largo
Downtown Largo,Largo
Morgan Blvd.,Morgan Boulevard
Mt. Vernon Square-UDC,Mount Vernon Square
Mt Vernon Sq 7th St-Convention Center,Mount Vernon Square
Navy Yard,Navy Yard–Ballpark
New York Ave,NoMa–Gallaudet U
Prince George's Plaza,Hyattsville Crossing
Reagan Washington National Airport,National Airport
Ronald Reagan Washington National Airport,National Airport
Shaw-Howard University,Shaw–Howard University
Shaw-Howard U,Shaw–Howard University
Stadium-Armory,Stadium–Armory
Tenleytown-AU,Tenleytown–AU
U Street-Cardozo,U Street
U Street/African-Amer Civil War Memorial/Cardozo,U Street
Van Ness-UDC,Van Ness–UDC
Virginia Square-GMU,Virginia Square–GMU
White Flint,North Bethesda
Woodley Park-Zoo,Woodley Park
Woodley Park-Zoo/Adams Morgan,Woodley Park
Rhode Island Ave-Brentwood,Rhode Island Avenue
Vienna/Fairfax-GMU,Vienna
Dunn Loring-Merrifield,Dunn Loring
Potomac Ave,Potomac Avenue
Minnesota Ave,Minnesota Avenue
Branch Ave,Branch Avenue
Washington Dulles International Airport,Dulles International Airport
Addison Road-Seat Pleasant,Addison Road
