ent_station,ext_station,ent_time_period,riders_average_sunday
Addison Road,Addison Road,AM Peak,1.5
Addison Road,Anacostia,AM Peak,1.75
Addison Road,Archives-Navy Memorial,AM Peak,0.5
Addison Road,Ballston,AM Peak,2.25
Addison Road,Benning Road,AM Peak,4.5
Addison Road,Bethesda,AM Peak,2.5
Addison Road,Braddock Road,AM Peak,0.5
Addison Road,Branch Avenue,AM Peak,1.25
Addison Road,Brookland,AM Peak,1.75
Addison Road,Capitol Heights,AM Peak,0.75
Addison Road,Capitol South,AM Peak,0.25
Addison Road,Cheverly,AM Peak,1.25
Addison Road,Clarendon,AM Peak,0.25
Addison Road,College Park-U of MD,AM Peak,1.0
Addison Road,Columbia Heights,AM Peak,5.75
Addison Road,Court House,AM Peak,0.25
Addison Road,Crystal City,AM Peak,2.0
Addison Road,Dunn Loring,AM Peak,1.25
Addison Road,Dupont Circle,AM Peak,3.5
Addison Road,East Falls Church,AM Peak,0.25
Addison Road,Eastern Market,AM Peak,4.25
Addison Road,Eisenhower Avenue,AM Peak,0.5
Addison Road,Farragut West,AM Peak,4.25
Addison Road,Federal Center SW,AM Peak,1.5
Addison Road,Federal Triangle,AM Peak,0.75
Addison Road,Foggy Bottom,AM Peak,8.75
Addison Road,Forest Glen,AM Peak,0.5
Addison Road,Fort Totten,AM Peak,4.75
Addison Road,Franconia-Springfield,AM Peak,0.75
Addison Road,Friendship Heights,AM Peak,3.75
Addison Road,Gallery Place-Chinatown,AM Peak,2.5
Addison Road,Georgia Avenue-Petworth,AM Peak,1.5
Addison Road,Glenmont,AM Peak,0.5
Addison Road,Greenbelt,AM Peak,0.75
Addison Road,Huntington,AM Peak,0.5
Addison Road,Judiciary Square,AM Peak,0.25
Addison Road,King Street,AM Peak,1.0
Addison Road,Landover,AM Peak,0.25
Addison Road,Largo Town Center,AM Peak,11.75
Addison Road,L'Enfant Plaza,AM Peak,3.5
Addison Road,McPherson Square,AM Peak,5.0
Addison Road,Medical Center,AM Peak,1.25
Addison Road,Metro Center,AM Peak,7.25
Addison Road,Minnesota Avenue,AM Peak,1.0
Addison Road,Morgan Blvd.,AM Peak,2.25
Addison Road,Mt. Vernon Square-UDC,AM Peak,1.5
Addison Road,Navy Yard,AM Peak,2.25
Addison Road,Naylor Road,AM Peak,0.75
Addison Road,New Carrollton,AM Peak,7.5
Addison Road,New York Ave,AM Peak,0.5
Addison Road,Pentagon,AM Peak,1.75
Addison Road,Pentagon City,AM Peak,4.5
Addison Road,Potomac Avenue,AM Peak,2.0
Addison Road,Prince George's Plaza,AM Peak,0.75
Addison Road,Reagan Washington National Airport,AM Peak,2.75
Addison Road,Rhode Island Avenue,AM Peak,4.0
Addison Road,Rockville,AM Peak,0.25
Addison Road,Rosslyn,AM Peak,2.75
Addison Road,Shady Grove,AM Peak,1.25
Addison Road,Shaw-Howard University,AM Peak,1.75
Addison Road,Silver Spring,AM Peak,1.25
Addison Road,Smithsonian,AM Peak,6.25
Addison Road,Stadium-Armory,AM Peak,3.75
Addison Road,Suitland,AM Peak,0.25
Addison Road,Takoma,AM Peak,0.75
Addison Road,Tenleytown-AU,AM Peak,2.0
Addison Road,Twinbrook,AM Peak,1.75
Addison Road,U Street-Cardozo,AM Peak,1.5
Addison Road,Union Station,AM Peak,4.25
Addison Road,Van Dorn Street,AM Peak,0.5
Addison Road,Van Ness-UDC,AM Peak,0.75
Addison Road,Vienna,AM Peak,0.5
Addison Road,Virginia Square-GMU,AM Peak,0.25
Addison Road,Waterfront,AM Peak,1.75
Addison Road,West Falls Church,AM Peak,1.5
Addison Road,West Hyattsville,AM Peak,0.25
Addison Road,Wheaton,AM Peak,1.25
Addison Road,White Flint,AM Peak,1.5
Addison Road,Woodley Park-Zoo,AM Peak,1.75
Anacostia,Addison Road,AM Peak,2.5
Anacostia,Anacostia,AM Peak,5.0
Anacostia,Archives-Navy Memorial,AM Peak,8.5
Anacostia,Arlington Cemetery,AM Peak,1.5
Anacostia,Ballston,AM Peak,5.25
Anacostia,Benning Road,AM Peak,2.75
Anacostia,Bethesda,AM Peak,1.25
Anacostia,Braddock Road,AM Peak,2.75
Anacostia,Branch Avenue,AM Peak,12.75
Anacostia,Brookland,AM Peak,4.0
Anacostia,Capitol Heights,AM Peak,2.5
Anacostia,Capitol South,AM Peak,0.25
Anacostia,Clarendon,AM Peak,0.75
Anacostia,Cleveland Park,AM Peak,1.25
Anacostia,College Park-U of MD,AM Peak,1.0
Anacostia,Columbia Heights,AM Peak,27.0
Anacostia,Congress Heights,AM Peak,1.25
Anacostia,Crystal City,AM Peak,4.0
Anacostia,Deanwood,AM Peak,2.5
Anacostia,Dunn Loring,AM Peak,1.75
Anacostia,Dupont Circle,AM Peak,6.75
Anacostia,East Falls Church,AM Peak,2.0
Anacostia,Eastern Market,AM Peak,3.25
Anacostia,Eisenhower Avenue,AM Peak,0.25
Anacostia,Farragut North,AM Peak,7.75
Anacostia,Farragut West,AM Peak,3.75
Anacostia,Federal Triangle,AM Peak,0.5
Anacostia,Foggy Bottom,AM Peak,18.75
Anacostia,Fort Totten,AM Peak,17.75
Anacostia,Franconia-Springfield,AM Peak,4.5
Anacostia,Friendship Heights,AM Peak,3.25
Anacostia,Gallery Place-Chinatown,AM Peak,18.75
Anacostia,Georgia Avenue-Petworth,AM Peak,8.5
Anacostia,Glenmont,AM Peak,1.0
Anacostia,Greenbelt,AM Peak,1.75
