ent_station,ext_station,ent_time_period,riders_average_weekday
Addison Road,Addison Road,AM Peak,7.7727272727272725
Addison Road,Anacostia,AM Peak,10.363636363636363
Addison Road,Archives-Navy Memorial,AM Peak,35.18181818181818
Addison Road,Arlington Cemetery,AM Peak,0.4090909090909091
Addison Road,Ballston,AM Peak,22.727272727272727
Addison Road,Benning Road,AM Peak,17.727272727272727
Addison Road,Bethesda,AM Peak,22.5
Addison Road,Braddock Road,AM Peak,2.590909090909091
Addison Road,Branch Avenue,AM Peak,2.1818181818181817
Addison Road,Brookland,AM Peak,22.772727272727273
Addison Road,Capitol Heights,AM Peak,16.0
Addison Road,Capitol South,AM Peak,58.77272727272727
Addison Road,Cheverly,AM Peak,3.0
Addison Road,Clarendon,AM Peak,5.863636363636363
Addison Road,Cleveland Park,AM Peak,0.6363636363636364
Addison Road,College Park-U of MD,AM Peak,4.045454545454546
Addison Road,Columbia Heights,AM Peak,12.636363636363637
Addison Road,Congress Heights,AM Peak,1.9090909090909092
Addison Road,Court House,AM Peak,13.181818181818182
Addison Road,Crystal City,AM Peak,21.727272727272727
Addison Road,Deanwood,AM Peak,1.5454545454545454
Addison Road,Dunn Loring,AM Peak,12.590909090909092
Addison Road,Dupont Circle,AM Peak,36.59090909090909
Addison Road,East Falls Church,AM Peak,0.6818181818181818
Addison Road,Eastern Market,AM Peak,35.68181818181818
Addison Road,Eisenhower Avenue,AM Peak,2.0
Addison Road,Farragut North,AM Peak,28.318181818181817
Addison Road,Farragut West,AM Peak,229.77272727272728
Addison Road,Federal Center SW,AM Peak,71.5909090909091
Addison Road,Federal Triangle,AM Peak,108.22727272727273
Addison Road,Foggy Bottom,AM Peak,107.45454545454545
Addison Road,Forest Glen,AM Peak,0.22727272727272727
Addison Road,Fort Totten,AM Peak,9.545454545454545
Addison Road,Franconia-Springfield,AM Peak,7.5
Addison Road,Friendship Heights,AM Peak,18.727272727272727
Addison Road,Gallery Place-Chinatown,AM Peak,41.54545454545455
Addison Road,Georgia Avenue-Petworth,AM Peak,6.681818181818182
Addison Road,Glenmont,AM Peak,1.0909090909090908
Addison Road,Greenbelt,AM Peak,5.818181818181818
Addison Road,Grosvenor,AM Peak,4.7727272727272725
Addison Road,Huntington,AM Peak,6.409090909090909
Addison Road,Judiciary Square,AM Peak,28.40909090909091
Addison Road,King Street,AM Peak,13.045454545454545
Addison Road,Landover,AM Peak,2.4545454545454546
Addison Road,Largo Town Center,AM Peak,65.0909090909091
Addison Road,L'Enfant Plaza,AM Peak,101.36363636363636
Addison Road,McPherson Square,AM Peak,135.9090909090909
Addison Road,Medical Center,AM Peak,24.272727272727273
Addison Road,Metro Center,AM Peak,110.54545454545455
Addison Road,Minnesota Avenue,AM Peak,13.863636363636363
Addison Road,Morgan Blvd.,AM Peak,22.318181818181817
Addison Road,Mt. Vernon Square-UDC,AM Peak,6.454545454545454
Addison Road,Navy Yard,AM Peak,8.090909090909092
Addison Road,Naylor Road,AM Peak,0.9545454545454546
Addison Road,New Carrollton,AM Peak,34.45454545454545
Addison Road,New York Ave,AM Peak,26.727272727272727
Addison Road,Pentagon,AM Peak,42.90909090909091
Addison Road,Pentagon City,AM Peak,24.545454545454547
Addison Road,Potomac Avenue,AM Peak,12.590909090909092
Addison Road,Prince George's Plaza,AM Peak,6.909090909090909
Addison Road,Reagan Washington National Airport,AM Peak,7.909090909090909
Addison Road,Rhode Island Avenue,AM Peak,12.681818181818182
Addison Road,Rockville,AM Peak,6.863636363636363
Addison Road,Rosslyn,AM Peak,52.31818181818182
Addison Road,Shady Grove,AM Peak,9.909090909090908
Addison Road,Shaw-Howard University,AM Peak,11.590909090909092
Addison Road,Silver Spring,AM Peak,21.636363636363637
