ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
addison road,addison road,AM Peak,7.772727272727272,0
addison road,anacostia,AM Peak,10.363636363636363,11
addison road,archives,AM Peak,35.18181818181818,9
addison road,arlington cemetery,AM Peak,0.4090909090909091,10
addison road,ballston-mu,AM Peak,22.727272727272727,15
addison road,benning road,AM Peak,17.727272727272727,2
addison road,bethesda,AM Peak,22.5,19
addison road,braddock road,AM Peak,2.590909090909091,14
addison road,branch avenue,AM Peak,2.1818181818181817,16
addison road,brookland cua,AM Peak,22.772727272727277,15
addison road,capitol heights,AM Peak,16.0,1
addison road,capitol south,AM Peak,58.77272727272727,6
addison road,cheverly,AM Peak,3.0,6
addison road,clarendon,AM Peak,5.863636363636363,13
addison road,cleveland park,AM Peak,0.6363636363636364,15
addison road,college park university of maryland,AM Peak,4.045454545454546,19
addison road,columbia heights,AM Peak,12.636363636363637,14
addison road,congress heights,AM Peak,1.9090909090909087,12
addison road,court house,AM Peak,13.181818181818182,12
addison road,crystal city,AM Peak,21.727272727272727,11
addison road,deanwood,AM Peak,1.5454545454545454,5
addison road,dunn loring,AM Peak,12.590909090909092,18
addison road,dupont circle,AM Peak,36.59090909090909,13
addison road,east falls church,AM Peak,0.6818181818181818,16
addison road,eastern market,AM Peak,35.68181818181818,5
addison road,eisenhower avenue,AM Peak,2.0,16
addison road,farragut north,AM Peak,28.318181818181817,12
addison road,farragut west,AM Peak,229.77272727272728,13
addison road,federal center sw,AM Peak,71.5909090909091,7
addison road,federal triangle,AM Peak,108.22727272727272,10
addison road,foggy bottom gwu,AM Peak,107.45454545454544,12
addison road,forest glen,AM Peak,0.2272727272727272,19
addison road,fort totten,AM Peak,9.545454545454543,16
addison road,franconia springfield,AM Peak,7.5,17
addison road,friendship heights,AM Peak,18.727272727272727,18
addison road,gallery place,AM Peak,41.54545454545455,10
addison road,georgia avenue petworth,AM Peak,6.681818181818182,15
addison road,glenmont,AM Peak,1.0909090909090908,21
addison road,greenbelt,AM Peak,5.818181818181818,20
addison road,grosvenor strathmore,AM Peak,4.7727272727272725,21
addison road,huntington,AM Peak,6.409090909090909,17
addison road,judiciary square,AM Peak,28.40909090909091,11
addison road,king street old town,AM Peak,13.045454545454543,15
addison road,landover,AM Peak,2.4545454545454546,7
addison road,largo,AM Peak,65.0909090909091,2
addison road,l'enfant plaza,AM Peak,101.36363636363636,8
addison road,mcpherson square,AM Peak,135.9090909090909,12
addison road,medical center,AM Peak,24.272727272727277,20
addison road,metro center,AM Peak,110.54545454545456,11
addison road,minnesota avenue,AM Peak,13.863636363636363,4
addison road,morgan boulevard,AM Peak,22.318181818181817,1
addison road,mount vernon square,AM Peak,6.454545454545454,11
addison road,navy yard ballpark,AM Peak,8.090909090909092,10
addison road,naylor road,AM Peak,0.9545454545454546,14
addison road,new carrollton,AM Peak,34.45454545454545,8
addison road,noma gallaudet u,AM Peak,26.727272727272727,13
addison road,pentagon,AM Peak,42.90909090909091,9
addison road,pentagon city,AM Peak,24.545454545454547,10
addison road,potomac avenue,AM Peak,12.590909090909092,4
addison road,hyattsville crossing,AM Peak,6.909090909090909,18
addison road,national airport,AM Peak,7.909090909090909,12
addison road,rhode island avenue,AM Peak,12.681818181818182,14
addison road,rockville,AM Peak,6.863636363636363,24
addison road,rosslyn,AM Peak,52.31818181818182,11
addison road,shady grove,AM Peak,9.909090909090908,25
addison road,shaw howard university,AM Peak,11.590909090909092,12
addison road,silver spring,AM Peak,21.63636363636364,18
addison road,smithsonian,AM Peak,74.4090909090909,9
addison road,southern avenue,AM Peak,1.6363636363636365,13
addison road,stadium armory,AM Peak,29.272727272727277,3
addison road,suitland,AM Peak,0.5,15
addison road,takoma,AM Peak,5.045454545454546,17
addison road,tenleytown au,AM Peak,15.227272727272728,17
addison road,twinbrook,AM Peak,5.636363636363637,23
addison road,u street,AM Peak,9.181818181818182,13
addison road,union station,AM Peak,53.5,12
addison road,van dorn street,AM Peak,4.318181818181818,16
addison road,van ness udc,AM Peak,6.954545454545454,16
addison road,vienna,AM Peak,4.090909090909091,19
